0.516,0.4944,0.5188,0.5288,0.4868,0.43,0.3304,0.2104,0.148,0.1104
0.4516,0.458,0.504,0.5352,0.5172,0.4784,0.422,0.3408,0.2784,0.23
0.346,0.4132,0.4632,0.5076,0.534,0.5364,0.4948,0.4488,0.4,0.37
0.2512,0.316,0.4636,0.4792,0.4808,0.5044,0.528,0.4984,0.4568,0.428
0.1804,0.1892,0.388,0.498,0.5184,0.4696,0.5032,0.4936,0.4808,0.4688
0.1412,0.1152,0.3244,0.4804,0.4996,0.5168,0.4924,0.5,0.4924,0.494
0.0896,0.068,0.2124,0.4484,0.4956,0.5012,0.4988,0.4968,0.4964,0.4932
0.0716,0.056,0.1436,0.402,0.5016,0.4936,0.5012,0.5016,0.4988,0.5064
0.0464,0.0368,0.026,0.2868,0.4884,0.5076,0.4792,0.5204,0.5156,0.5168
0.0404,0.03,0.0128,0.1772,0.5028,0.5044,0.488,0.508,0.4836,0.504
