0.5084,0.4828,0.496,0.4792,0.4684,0.4008,0.2692,0.144,0.058,0.0308,0.0228,0.0204,0.0268,0.0456,0.052,0.0776,0.1052,0.1372,0.1872,0.2064,0.2432
0.4904,0.5008,0.4736,0.4292,0.3784,0.3292,0.2748,0.2344,0.1532,0.0816,0.044,0.0288,0.0296,0.0352,0.0556,0.0672,0.088,0.1264,0.1368,0.1764,0.1904
0.5016,0.4772,0.4244,0.398,0.3952,0.3744,0.3972,0.3764,0.3352,0.262,0.182,0.1272,0.1108,0.1052,0.124,0.1272,0.1412,0.1776,0.1956,0.2036,0.2288
0.4688,0.448,0.416,0.4004,0.3888,0.4068,0.3944,0.4072,0.4116,0.3788,0.3228,0.2788,0.2316,0.2088,0.2004,0.2112,0.2056,0.23,0.2272,0.2452,0.2644
0.4232,0.4392,0.4216,0.4016,0.402,0.402,0.4044,0.4164,0.446,0.438,0.4144,0.3784,0.3436,0.3224,0.302,0.2852,0.2804,0.2884,0.2824,0.2892,0.2996
0.3852,0.4064,0.4348,0.4188,0.3924,0.4076,0.3752,0.4204,0.4228,0.4208,0.4296,0.426,0.4164,0.4092,0.3644,0.3472,0.3656,0.3444,0.3524,0.3448,0.3536
0.3496,0.3708,0.422,0.41,0.3956,0.402,0.3984,0.4112,0.4144,0.4272,0.4256,0.4296,0.4312,0.4136,0.4212,0.422,0.3868,0.3804,0.376,0.3712,0.3716
0.2092,0.2708,0.3784,0.3708,0.3836,0.3776,0.39,0.3944,0.3936,0.408,0.4192,0.4264,0.4292,0.4092,0.4284,0.4284,0.4304,0.4064,0.3924,0.4008,0.4084
0.0652,0.1064,0.2928,0.3312,0.3588,0.3648,0.3716,0.3844,0.3944,0.406,0.3912,0.402,0.3924,0.418,0.4164,0.4132,0.4284,0.434,0.4332,0.4096,0.3996
0.0124,0.0512,0.2224,0.3076,0.342,0.3624,0.3848,0.3956,0.3948,0.3828,0.4068,0.392,0.4032,0.4136,0.4088,0.4012,0.3948,0.414,0.4152,0.4036,0.418
0.008,0.0408,0.2112,0.2968,0.3344,0.3368,0.3828,0.37,0.3944,0.3876,0.3924,0.4108,0.3832,0.3884,0.3892,0.3868,0.3952,0.3896,0.3896,0.412,0.402
0.0116,0.0356,0.192,0.31,0.3244,0.34,0.3808,0.3888,0.3876,0.4056,0.3924,0.41,0.384,0.3936,0.394,0.386,0.386,0.3824,0.3844,0.3856,0.3892
0.0352,0.0648,0.1996,0.2828,0.3388,0.3632,0.3708,0.3748,0.4144,0.4092,0.4112,0.4132,0.402,0.3992,0.3956,0.404,0.3712,0.3936,0.38,0.3952,0.3648
0.0888,0.0872,0.1904,0.2824,0.332,0.3508,0.344,0.3744,0.3832,0.3996,0.4116,0.4208,0.4244,0.4208,0.392,0.4016,0.3848,0.3896,0.3848,0.3884,0.3968
0.1352,0.1344,0.1832,0.2784,0.3244,0.3412,0.3356,0.366,0.3828,0.3892,0.392,0.4016,0.418,0.4252,0.4148,0.4036,0.3932,0.3864,0.3928,0.3928,0.3872
0.1912,0.1836,0.1912,0.2532,0.2948,0.3244,0.3584,0.3412,0.3712,0.3816,0.3816,0.3868,0.4096,0.3864,0.3968,0.3892,0.3956,0.3904,0.3836,0.3944,0.384
0.2116,0.1992,0.1964,0.2484,0.292,0.3332,0.3404,0.332,0.3512,0.3724,0.3876,0.3868,0.39,0.4032,0.4112,0.3964,0.3952,0.4212,0.3988,0.3884,0.3728
0.232,0.2188,0.1996,0.2432,0.2896,0.3092,0.326,0.3228,0.342,0.3612,0.3692,0.3716,0.3916,0.3784,0.38,0.3752,0.3876,0.3976,0.4132,0.3728,0.3928
0.2672,0.2292,0.234,0.2392,0.29,0.314,0.3228,0.3352,0.3216,0.3476,0.3516,0.3612,0.3716,0.3828,0.3804,0.388,0.3788,0.3948,0.3888,0.398,0.3944
0.2892,0.2548,0.2252,0.2308,0.2716,0.2896,0.3164,0.3176,0.3184,0.3416,0.342,0.3496,0.3552,0.3608,0.3908,0.3748,0.3968,0.3884,0.3856,0.3912,0.392
0.296,0.2668,0.262,0.2252,0.262,0.2808,0.308,0.3156,0.3024,0.3328,0.3248,0.3544,0.3528,0.34,0.3704,0.3784,0.372,0.3708,0.3952,0.406,0.3988
