0.508,0.508,0.5108,0.4932,0.4464,0.3988,0.3392,0.2324,0.124,0.0432,0.024,0.0376,0.0536,0.0764,0.1284,0.2244,0.3076,0.3832,0.4344,0.4536,0.472
0.5044,0.502,0.478,0.4868,0.4632,0.4144,0.314,0.1788,0.0872,0.0376,0.0156,0.0196,0.032,0.0508,0.094,0.1588,0.2408,0.3056,0.336,0.3784,0.4024
0.4924,0.5012,0.494,0.4732,0.4392,0.3604,0.2916,0.1544,0.08,0.032,0.0204,0.0172,0.0332,0.0456,0.0984,0.1272,0.2052,0.2396,0.2848,0.3428,0.3712
0.494,0.4812,0.4664,0.4364,0.4084,0.3276,0.28,0.1484,0.0708,0.0376,0.0324,0.0352,0.042,0.056,0.1012,0.1432,0.196,0.2436,0.2908,0.3096,0.3484
0.4796,0.4648,0.4536,0.4044,0.3292,0.2712,0.2224,0.1308,0.0768,0.0476,0.0388,0.0512,0.0612,0.0832,0.1176,0.1752,0.2032,0.2508,0.2912,0.3144,0.3428
0.452,0.4072,0.3972,0.3404,0.2788,0.2392,0.1568,0.11,0.0548,0.0536,0.0612,0.0732,0.104,0.1308,0.1736,0.1844,0.2408,0.2764,0.288,0.3164,0.3492
0.4004,0.3632,0.3188,0.2696,0.2312,0.1628,0.0992,0.0792,0.0692,0.0756,0.1092,0.1328,0.164,0.1932,0.2428,0.2496,0.2564,0.2924,0.3204,0.3424,0.3544
0.3252,0.2516,0.1928,0.158,0.1288,0.096,0.0672,0.08,0.1356,0.1632,0.1912,0.2196,0.2332,0.2484,0.2736,0.3096,0.3268,0.3252,0.3528,0.3548,0.366
0.1936,0.1336,0.1004,0.0724,0.0652,0.0584,0.106,0.1756,0.2296,0.244,0.268,0.2844,0.2724,0.3288,0.3196,0.3424,0.3436,0.3684,0.3708,0.3708,0.386
0.0832,0.04,0.0396,0.04,0.0612,0.1236,0.2232,0.2904,0.326,0.346,0.3476,0.3812,0.378,0.354,0.3736,0.3776,0.3992,0.4028,0.4008,0.4128,0.3988
0.0104,0.0256,0.0412,0.064,0.1256,0.2572,0.3396,0.368,0.3888,0.4192,0.4156,0.4352,0.3884,0.4136,0.4144,0.4144,0.4084,0.4076,0.4152,0.4224,0.4268
0.0508,0.0592,0.0636,0.102,0.2448,0.3632,0.3944,0.4324,0.452,0.4448,0.4548,0.448,0.4496,0.4396,0.4368,0.44,0.4416,0.4368,0.4452,0.4288,0.4376
0.092,0.0924,0.12,0.214,0.3524,0.4356,0.4788,0.482,0.4912,0.4724,0.4912,0.456,0.4788,0.4568,0.45,0.4488,0.4428,0.4556,0.4584,0.458,0.4596
0.1432,0.1476,0.2108,0.3552,0.4332,0.4672,0.4872,0.4852,0.486,0.496,0.4964,0.4924,0.5008,0.4752,0.4812,0.482,0.4652,0.4784,0.4736,0.4844,0.4552
0.218,0.2356,0.3236,0.4336,0.4624,0.4912,0.4916,0.4836,0.4952,0.498,0.4956,0.5036,0.5064,0.494,0.492,0.4888,0.4728,0.484,0.4836,0.4616,0.468
0.3304,0.3236,0.4076,0.4512,0.5044,0.5124,0.5092,0.4996,0.4896,0.516,0.5024,0.5076,0.502,0.504,0.4952,0.4948,0.4884,0.4756,0.4864,0.4844,0.5096
0.3936,0.3956,0.4412,0.4684,0.496,0.4876,0.504,0.4952,0.5012,0.5064,0.498,0.4932,0.5012,0.5104,0.5028,0.4964,0.4756,0.4876,0.5,0.4936,0.4868
0.4188,0.4388,0.4752,0.4968,0.4988,0.4992,0.506,0.4892,0.4968,0.48,0.4852,0.5084,0.5028,0.4836,0.488,0.5032,0.5124,0.4976,0.4916,0.5108,0.4956
0.4548,0.4548,0.494,0.5008,0.4828,0.494,0.5036,0.4796,0.4952,0.494,0.506,0.496,0.5028,0.5068,0.492,0.4884,0.4944,0.5004,0.5048,0.4904,0.5032
0.466,0.4816,0.4988,0.4924,0.5144,0.4972,0.5092,0.4888,0.4988,0.494,0.4888,0.5068,0.4972,0.5132,0.4788,0.4988,0.4824,0.4968,0.51,0.5024,0.4856
0.4796,0.4828,0.512,0.4916,0.506,0.4852,0.4944,0.4876,0.4912,0.5212,0.5128,0.5008,0.4996,0.4968,0.4932,0.4812,0.5208,0.5112,0.4956,0.5052,0.4928
