0.495,0.49,0.515,0.5,0.532,0.281
0.491,0.53,0.485,0.521,0.493,0.511
0.327,0.492,0.503,0.506,0.486,0.486
0.105,0.508,0.506,0.5,0.527,0.503
0.029,0.51,0.508,0.497,0.516,0.486
0.055,0.482,0.492,0.498,0.504,0.499
