0.4972,0.4872,0.5172,0.5164,0.4756,0.4244,0.3212,0.2204,0.1484,0.1192
0.45,0.4344,0.5144,0.5328,0.516,0.4936,0.4176,0.3532,0.288,0.2372
0.3444,0.4116,0.4528,0.5024,0.5344,0.544,0.468,0.4284,0.4128,0.3864
0.25,0.29,0.4564,0.4892,0.4908,0.4796,0.508,0.4812,0.4468,0.43
0.2032,0.1896,0.3924,0.5024,0.4948,0.4996,0.5128,0.5104,0.5072,0.4808
0.1188,0.1292,0.33,0.4612,0.5136,0.5056,0.4892,0.5204,0.4956,0.4844
0.0808,0.0732,0.1964,0.4468,0.486,0.5024,0.4924,0.5024,0.4864,0.4856
0.0668,0.0532,0.1332,0.4132,0.4864,0.4964,0.5024,0.5064,0.4936,0.514
0.0472,0.038,0.0212,0.2732,0.5092,0.4976,0.5068,0.494,0.4864,0.508
0.0332,0.0288,0.0132,0.184,0.4968,0.5152,0.498,0.5072,0.5052,0.4948
